"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000087074",93.8991701150049,4.06866390840976,0.656012392926713,6.20211439948254,5.57095565462622e-10,4.37626628173634e-06
"ENSG00000149428",418.726807812238,2.63652274106199,0.436792106864039,6.03610436093037,1.57879169782462e-09,4.37626628173634e-06
"ENSG00000162772",74.0194278436952,4.81483261816298,0.798331489583042,6.03111950485343,1.62827717291443e-09,4.37626628173634e-06
"ENSG00000270882",203.234969702647,-3.70776348767111,0.641593147183127,-5.77899484112292,7.51482304913057e-09,1.2661482216085e-05
"ENSG00000273802",148.787485836265,-3.8768554598881,0.671710835161891,-5.77161370183008,7.8515950738466e-09,1.2661482216085e-05
"ENSG00000196787",191.772096580315,-3.83868431063714,0.676135879108433,-5.67738590606804,1.36768689781284e-08,1.83794324284416e-05
"ENSG00000278463",54.7413144860161,-4.62349566216032,0.821150451156354,-5.63050979957383,1.7967773136537e-08,2.06963078285569e-05
"ENSG00000274267",168.708303311873,-3.48956167953056,0.640213793166438,-5.45061933494359,5.01947076904186e-08,4.7791267170161e-05
"ENSG00000110619",107.37257555845,3.24055721100472,0.595714271408744,5.4397844176898,5.33450830375107e-08,4.7791267170161e-05
"ENSG00000184357",326.160870493698,-4.68750619672419,0.865122957612931,-5.41831210867189,6.01643213636008e-08,4.85104923154713e-05
"ENSG00000134684",118.964823602209,3.09855930541599,0.578628433681667,5.35500698730037,8.55531110059838e-08,6.27104303673862e-05
"ENSG00000158373",154.46105478862,-3.90975691672612,0.733352127885646,-5.33135006780233,9.74852890517762e-08,6.55019904687059e-05
"ENSG00000183598",87.3528520695235,-3.54194772662922,0.668857519167676,-5.2955190382502,1.18678827905e-07,7.36082607229243e-05
"ENSG00000184260",117.608738007023,-3.25869312233712,0.617968028481668,-5.27323902232231,1.34036809032649e-07,7.71956279450178e-05
"ENSG00000168003",199.762677143872,2.88651793548271,0.554068924986412,5.20967303039688,1.89173713304987e-07,0.000101687176691874
"ENSG00000277157",118.132602114781,-3.73417895611174,0.720535324358012,-5.18250643636222,2.18923809117733e-07,0.000110323917057268
"ENSG00000273983",132.853628575294,-3.64824124231434,0.714845745710182,-5.10353634222149,3.33364457170139e-07,0.000158112801068402
"ENSG00000277075",168.144403731852,-3.56188199936125,0.701270447577644,-5.07918451670799,3.79058421047083e-07,0.000169797113827924
"ENSG00000187837",392.879935450724,-3.23542764240481,0.64189266241034,-5.04044964504752,4.64439323327767e-07,0.000194210831836911
"ENSG00000276368",41.9863516036527,-4.46797452650819,0.890257426330016,-5.01874446015789,5.20102788025524e-07,0.000194210831836911
"ENSG00000187678",77.9456037893609,3.35236899534507,0.668274232246737,5.01645706744432,5.26330309268851e-07,0.000194210831836911
"ENSG00000278677",66.170543430283,-3.61926527207869,0.723325301216971,-5.00364810409562,5.62554084853364e-07,0.000194210831836911
"ENSG00000274997",76.126758694532,-4.33945221713769,0.867857644960121,-5.00018896225439,5.72741541365345e-07,0.000194210831836911
"ENSG00000276966",221.566773565663,-3.19171046215296,0.63854644389208,-4.99839987002164,5.78080114608194e-07,0.000194210831836911
"ENSG00000276180",71.9407274348011,-4.03465622060993,0.809747682940846,-4.9826091579007,6.27325803353925e-07,0.000202325118097708
"ENSG00000158406",85.3573556284327,-3.26417648691113,0.65809070636323,-4.96007078560609,7.04674970218064e-07,0.00021853054941801
"ENSG00000278637",40.7205970238708,-4.88391055460135,0.993692287986481,-4.91491240663406,8.88221631560723e-07,0.000265249296862004
"ENSG00000282988",179.636623913737,-3.63002765872439,0.740526099422076,-4.90195775889243,9.48862424615742e-07,0.000273238490345598
"ENSG00000168298",409.080819618101,-3.3237877425394,0.683749907591766,-4.86111618536974,1.16725716462513e-06,0.000304847841648176
"ENSG00000203811",87.7563775163335,-3.25265817691852,0.669229348105011,-4.86030414853853,1.17205544972013e-06,0.000304847841648176
"ENSG00000203852",87.7563775163335,-3.25265817691852,0.669229348105011,-4.86030414853853,1.17205544972013e-06,0.000304847841648176
