"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000222427",137.068810454451,3.69479288348484,0.472953623616184,7.81216740710137,5.62128281811142e-15,4.55588439223171e-12
"ENSG00000277136",93.8525010155173,3.64682962203471,0.480043055378493,7.59688028224749,3.03354932518401e-14,2.32201347791029e-11
"ENSG00000178977",1757.21353040862,3.14960553543513,0.415864814994002,7.57362830871027,3.62941891949574e-14,2.63190178277959e-11
"ENSG00000233421",1018.66134972352,3.3727216105977,0.452220047171142,7.45814262701471,8.77506538545818e-14,6.04514254404214e-11
"ENSG00000229140",48.3480411690212,5.14966443263663,0.691152024998229,7.45084185009778,9.27464883028601e-14,6.08505293255622e-11
"ENSG00000240590",40.8749745148293,9.24698201160974,1.27682949006889,7.24214320199548,4.41649151023483e-13,2.76592818309161e-10
"ENSG00000274452",66.9145764312001,5.38666125339744,0.747426441473812,7.20694499752478,5.72211026764231e-13,3.42779283772069e-10
"ENSG00000130600",164.699190777205,-9.44055211444581,1.31703134564936,-7.16805423472376,7.60711686546532e-13,4.36711900718255e-10
"ENSG00000167244",198.719857321883,-3.87730496099442,0.545374966855739,-7.10942965231485,1.16523474736655e-12,6.42184173968652e-10
"ENSG00000206418",750.373467819975,3.89227340315987,0.551986759648627,7.05138906889278,1.77140419761812e-12,9.38707962876251e-10
"ENSG00000232040",339.487411308312,3.00306932477683,0.429520794283289,6.99167389506215,2.71625670995422e-12,1.3860957388796e-09
"ENSG00000258017",129.45365627794,-3.66709456167893,0.541361945029996,-6.77383143633367,1.25415788353847e-11,6.14515578253028e-09
"ENSG00000223203",288.04557459633,2.92023088648497,0.431388811670947,6.76937094212922,1.29343531494686e-11,6.14515578253028e-09
"ENSG00000200719",77.9995765946481,3.21099073470082,0.481888749491605,6.66334447128808,2.6766528597464e-11,1.22929743671953e-08
"ENSG00000206538",169.715341252605,3.44416498616606,0.536599553434874,6.41850140224552,1.37622340168108e-10,6.1166471059232e-08
"ENSG00000269900",1133.77604994446,2.60982085304886,0.407040100890085,6.41170451594793,1.43901545271583e-10,6.18647880428693e-08
"ENSG00000228549",38.4282556900728,4.07011180945516,0.635235979667016,6.40724382707144,1.48173755655007e-10,6.18647880428693e-08
"ENSG00000163359",87.4437993788205,-7.04908349037593,1.10402816157033,-6.38487652375604,1.71535821811573e-10,6.75418538601207e-08
"ENSG00000202515",112.708592359586,3.12109402566664,0.488828756687948,6.38484128227965,1.71575329155482e-10,6.75418538601207e-08
"ENSG00000201763",249.728376411625,3.15948323609228,0.495982607820052,6.37014924773042,1.88844343558869e-10,7.22749268209471e-08
"ENSG00000199990",683.23911749201,3.31166693674436,0.524990989945273,6.30804528110011,2.82581551463481e-10,1.05227259893617e-07
"ENSG00000103740",679.389126390443,2.45722327493359,0.393542585771575,6.24385610039124,4.26912779143469e-10,1.54789586079966e-07
"ENSG00000222806",103.279874802842,2.76656957135554,0.443548483366835,6.23735549799515,4.45029870623936e-10,1.56939707956549e-07
"ENSG00000064989",58.0642995570774,3.4689695660295,0.556488869748729,6.2336728632072,4.55624061421249e-10,1.56939707956549e-07
"ENSG00000210191",1060.86846687968,2.73652084396088,0.443178488264902,6.17476009423357,6.62640115276701e-10,2.22679402641034e-07
"ENSG00000108821",68.7117330191346,-4.78147786670163,0.775127913882395,-6.16863072670493,6.88838872925144e-10,2.25971952170539e-07
"ENSG00000201185",1555.80058238813,2.6030840915355,0.423291738933442,6.14962176699794,7.76679390244868e-10,2.46958166871398e-07
"ENSG00000230734",61.9018621154893,-3.30142518139154,0.537062206967842,-6.14719326468865,7.88660135167768e-10,2.46958166871398e-07
"ENSG00000018236",28.9543901386159,6.39263119763508,1.04476507715972,6.11872595800579,9.43264584009327e-10,2.81662734868219e-07
"ENSG00000158195",285.744619236063,3.03934991797216,0.496883254038635,6.11682904036013,9.5455675280021e-10,2.81662734868219e-07
"ENSG00000143248",30.6665648901358,3.85930335178595,0.631039563165979,6.11578667496455,9.60817864625221e-10,2.81662734868219e-07
"ENSG00000151136",30.5030156453193,7.85268714081927,1.288746567587,6.09327492178879,1.10623836089902e-09,3.17536502843055e-07
"ENSG00000261441",1221.10382457903,2.39044549634035,0.396925457258745,6.02240408778338,1.718452056198e-09,4.83200661842777e-07
"ENSG00000200558",119.669446419053,2.780729870115,0.463981878287778,5.99318637265891,2.05768798969624e-09,5.67016502440695e-07
"ENSG00000278771",224.119233338858,2.19349506122371,0.367388597836505,5.9705039136785,2.36521909246687e-09,6.38980169725659e-07
